"Overall Stats:"
"Hours Volunteered","Average age","Number of groups","Total number of users","Number of anonymous users"
11256,50.4,117,552,0

"Breakdown by country:"
"Country name","Total hours"
GB,6702
CA,1382
SE,1028
IT,722
BE,636

"Breakdown by city:"
"Town/city name","Total hours"
London,3806
Malmö,776
N/A,768
Montréal,569
Leeds,440

Results:
#,Hours,"Event date","Restart group",Location
1508,4.00,04/04/2020,"Cambridge Area Repair Cafes","Cottenham Community Centre Coffee Shop, High Street, Cottenham, CB24 8RZ"
1535,2.50,04/04/2020,"Share and Repair","Southdown Methodist Church, The Hollow, BA2 1NG"
1579,2.50,02/04/2020,"Rosie the Restarter","6 Canterbury Crescent, London, UK"
1579,2.50,02/04/2020,"Rosie the Restarter","6 Canterbury Crescent, London, UK"
1579,2.50,02/04/2020,"Rosie the Restarter","6 Canterbury Crescent, London, UK"
1579,2.50,02/04/2020,"Rosie the Restarter","6 Canterbury Crescent, London, UK"
1579,2.50,02/04/2020,"Rosie the Restarter","6 Canterbury Crescent, London, UK"
1579,2.50,02/04/2020,"Rosie the Restarter","6 Canterbury Crescent, London, UK"
1579,2.50,02/04/2020,"Rosie the Restarter","6 Canterbury Crescent, London, UK"
1579,2.50,02/04/2020,"Rosie the Restarter","6 Canterbury Crescent, London, UK"
1579,2.50,02/04/2020,"Rosie the Restarter","6 Canterbury Crescent, London, UK"
1579,2.50,02/04/2020,"Rosie the Restarter","6 Canterbury Crescent, London, UK"
1579,2.50,02/04/2020,"Rosie the Restarter","6 Canterbury Crescent, London, UK"
1579,2.50,02/04/2020,"Rosie the Restarter","6 Canterbury Crescent, London, UK"
1579,2.50,02/04/2020,"Rosie the Restarter","6 Canterbury Crescent, London, UK"
1579,2.50,02/04/2020,"Rosie the Restarter","6 Canterbury Crescent, London, UK"
1579,2.50,02/04/2020,"Rosie the Restarter","6 Canterbury Crescent, London, UK"
1579,2.50,02/04/2020,"Rosie the Restarter","6 Canterbury Crescent, London, UK"
1579,2.50,02/04/2020,"Rosie the Restarter","6 Canterbury Crescent, London, UK"
1579,2.50,02/04/2020,"Rosie the Restarter","6 Canterbury Crescent, London, UK"
1579,2.50,02/04/2020,"Rosie the Restarter","6 Canterbury Crescent, London, UK"
1579,2.50,02/04/2020,"Rosie the Restarter","6 Canterbury Crescent, London, UK"
1579,2.50,02/04/2020,"Rosie the Restarter","6 Canterbury Crescent, London, UK"
1579,2.50,02/04/2020,"Rosie the Restarter","6 Canterbury Crescent, London, UK"
1579,2.50,02/04/2020,"Rosie the Restarter","6 Canterbury Crescent, London, UK"
1579,2.50,02/04/2020,"Rosie the Restarter","6 Canterbury Crescent, London, UK"
1579,2.50,02/04/2020,"Rosie the Restarter","6 Canterbury Crescent, London, UK"
1579,2.50,02/04/2020,"Rosie the Restarter","6 Canterbury Crescent, London, UK"
1579,2.50,02/04/2020,"Rosie the Restarter","6 Canterbury Crescent, London, UK"
1579,2.50,02/04/2020,"Rosie the Restarter","6 Canterbury Crescent, London, UK"
1579,2.50,02/04/2020,"Rosie the Restarter","6 Canterbury Crescent, London, UK"
1579,2.50,02/04/2020,"Rosie the Restarter","6 Canterbury Crescent, London, UK"
1579,2.50,02/04/2020,"Rosie the Restarter","6 Canterbury Crescent, London, UK"
1579,2.50,02/04/2020,"Rosie the Restarter","6 Canterbury Crescent, London, UK"
1579,2.50,02/04/2020,"Rosie the Restarter","6 Canterbury Crescent, London, UK"
1579,2.50,02/04/2020,"Rosie the Restarter","6 Canterbury Crescent, London, UK"
1579,2.50,02/04/2020,"Rosie the Restarter","6 Canterbury Crescent, London, UK"
1579,2.50,02/04/2020,"Rosie the Restarter","6 Canterbury Crescent, London, UK"
1579,2.50,02/04/2020,"Rosie the Restarter","6 Canterbury Crescent, London, UK"
1579,2.50,02/04/2020,"Rosie the Restarter","6 Canterbury Crescent, London, UK"
1579,2.50,02/04/2020,"Rosie the Restarter","6 Canterbury Crescent, London, UK"
1579,2.50,02/04/2020,"Rosie the Restarter","6 Canterbury Crescent, London, UK"
1579,2.50,02/04/2020,"Rosie the Restarter","6 Canterbury Crescent, London, UK"
1579,2.50,02/04/2020,"Rosie the Restarter","6 Canterbury Crescent, London, UK"
1579,2.50,02/04/2020,"Rosie the Restarter","6 Canterbury Crescent, London, UK"
1579,2.50,02/04/2020,"Rosie the Restarter","6 Canterbury Crescent, London, UK"
1579,2.50,02/04/2020,"Rosie the Restarter","6 Canterbury Crescent, London, UK"
1579,2.50,02/04/2020,"Rosie the Restarter","6 Canterbury Crescent, London, UK"
1579,2.50,02/04/2020,"Rosie the Restarter","6 Canterbury Crescent, London, UK"
1579,2.50,02/04/2020,"Rosie the Restarter","6 Canterbury Crescent, London, UK"
1579,2.50,02/04/2020,"Rosie the Restarter","6 Canterbury Crescent, London, UK"
1579,2.50,02/04/2020,"Rosie the Restarter","6 Canterbury Crescent, London, UK"
1579,2.50,02/04/2020,"Rosie the Restarter","6 Canterbury Crescent, London, UK"
1579,2.50,02/04/2020,"Rosie the Restarter","6 Canterbury Crescent, London, UK"
1579,2.50,02/04/2020,"Rosie the Restarter","6 Canterbury Crescent, London, UK"
1579,2.50,02/04/2020,"Rosie the Restarter","6 Canterbury Crescent, London, UK"
1579,2.50,02/04/2020,"Rosie the Restarter","6 Canterbury Crescent, London, UK"
1579,2.50,02/04/2020,"Rosie the Restarter","6 Canterbury Crescent, London, UK"
1579,2.50,02/04/2020,"Rosie the Restarter","6 Canterbury Crescent, London, UK"
1617,3.00,01/04/2020,"Gent Repair Cafe","Meulestedekaai 1 9000 Gent"
1631,3.00,01/04/2020,"Gent Repair Cafe","Meulestedekaai 1 9000 Gent"
1592,4.00,29/03/2020,"Repair Cafe Malmö","Stapelbäddsgatan 3, Malmö, Sweden"
1644,3.00,29/03/2020,Nanjifix,108台灣台北市萬華區中華路二段334號
1616,3.00,28/03/2020,"Gent Repair Cafe","Rerum Novarumplein 9000 Gent"
1404,3.00,28/03/2020,"Restarters Tooting","Mushkill Aasaan, 222 Upper Tooting Road SW17 7EW"
1404,3.00,28/03/2020,"Restarters Tooting","Mushkill Aasaan, 222 Upper Tooting Road SW17 7EW"
1404,3.00,28/03/2020,"Restarters Tooting","Mushkill Aasaan, 222 Upper Tooting Road SW17 7EW"
1404,3.00,28/03/2020,"Restarters Tooting","Mushkill Aasaan, 222 Upper Tooting Road SW17 7EW"
1404,3.00,28/03/2020,"Restarters Tooting","Mushkill Aasaan, 222 Upper Tooting Road SW17 7EW"
1404,3.00,28/03/2020,"Restarters Tooting","Mushkill Aasaan, 222 Upper Tooting Road SW17 7EW"
1404,3.00,28/03/2020,"Restarters Tooting","Mushkill Aasaan, 222 Upper Tooting Road SW17 7EW"
1404,3.00,28/03/2020,"Restarters Tooting","Mushkill Aasaan, 222 Upper Tooting Road SW17 7EW"
1404,3.00,28/03/2020,"Restarters Tooting","Mushkill Aasaan, 222 Upper Tooting Road SW17 7EW"
1404,3.00,28/03/2020,"Restarters Tooting","Mushkill Aasaan, 222 Upper Tooting Road SW17 7EW"
1404,3.00,28/03/2020,"Restarters Tooting","Mushkill Aasaan, 222 Upper Tooting Road SW17 7EW"
