Date,Venue,Group,Participants,Volunteers,"CO2 (kg)","Weight (kg)",Fixed,Repairable,Dead,"Hours Volunteered"
27/03/2021,"REPAIR Café Pepinster",,0,1,0,0,0,0,0,12
27/03/2021,"Restart Party: Hackney Fixers and Restarters West London",,11,17,0,0,0,0,0,60
27/03/2021,"Restart Party:Restarters West London and Hackney Fixers",,0,2,0,0,0,0,0,15
26/03/2021,"Cafe Repair Barò de Viver, Sinèrgics",,0,1,0,0,0,0,0,12
21/03/2021,"Repair Café Rhode-Saint-Genèse",,10,2,0,0,0,0,0,15
20/03/2021,"Repair Café Frameries",,0,1,0,0,0,0,0,12
18/03/2021,"Mending Pile Meet Up",,0,1,0,0,0,0,0,12
14/03/2021,"Repair Café Tournai - ANNULE",,0,1,0,0,0,0,0,12
13/03/2021,"Repair Café de la Roseraie Uccle",,0,1,0,0,0,0,0,12
11/03/2021,"Basic Bike Maintenance with Repair Cafe Belfast",,0,1,0,0,0,0,0,12
06/03/2021,"Atelier Mars Re-Cycle Jodoigne",,0,1,0,0,0,0,0,12
06/03/2021,"Repair Café / Donnerie",,0,2,0,0,0,0,0,15
04/03/2021,"Vaux-sur-Sûre - Repair café - atelier ""Do It Yourself""",,0,1,0,0,0,0,0,12
04/03/2021,"Mending Pile Meet Up",,0,1,0,0,0,0,0,12
27/02/2021,"Repair Café de la Roseraie Uccle",,0,1,0,0,0,0,0,12
26/02/2021,"Cafe Repair Barò, Sinèrgics",,0,1,0,0,0,0,0,12
21/02/2021,"Repair Café Rhode-Saint-Genèse",,10,7,0,0,0,0,0,30
20/02/2021,"Repair Café Frameries ANNULÉ",,0,1,0,0,0,0,0,12
20/02/2021,"Moonee Valley Repair Cafe",,0,1,0,0,0,0,0,12
18/02/2021,"Mending Pile Meet Up",,0,1,0,0,0,0,0,12
14/02/2021,"Repair Café Tournai - ANNULE",,0,1,0,0,0,0,0,12
12/02/2021,"RC test 2",,24,1,0,0,0,0,0,12
10/02/2021,"Repair Café Centre A.R.A.",,0,1,0,0,0,0,0,12
06/02/2021,"ANNULÉ - Repair Café de Floreffe",,0,2,0,0,0,0,0,15
04/02/2021,"Vaux-sur-Sûre - Repair café - atelier ""Do It Yourself""",,0,1,0,0,0,0,0,12
04/02/2021,"Mending Pile Meet Up",,0,1,0,0,0,0,0,12
30/01/2021,"Hackney Fixers online",,14,10,0,0,0,0,0,39
30/01/2021,Inaugurazione,,0,1,0,0,0,0,0,12
30/01/2021,Inaugurazione,,0,1,0,0,0,0,0,12
23/01/2021,"REPAIR Café Pepinster",,0,1,0,0,0,0,0,12
21/01/2021,"Repair Cafe Virtual",,8,5,0,0,0,0,0,24
17/01/2021,"Repair Café Rhode-Saint-Genèse",,10,6,0,0,0,0,0,27
17/01/2021,"Repair Café Test",,5,4,0,0,0,0,0,21
16/01/2021,"Repair Café Visio #2",,0,1,0,0,0,0,0,12
16/01/2021,"Repair Café Frameries ANNULÉ",,0,1,0,0,0,0,0,12
16/01/2021,"Repair Café de la Roseraie Uccle",,0,1,0,0,0,0,0,12
10/01/2021,"Repair Café Tournai - ANNULE",,0,1,0,0,0,0,0,12
07/01/2021,"Vaux-sur-Sûre - Repair café - atelier ""Do It Yourself""",,0,1,0,0,0,0,0,12
01/01/2021,"Broad Street Shop",,0,1,0,0,0,0,0,12
20/12/2020,"Repair Café 100% Audio à La Serre - Ixelles",,0,1,0,0,0,0,0,12
20/12/2020,"Repair Café Rhode-Saint-Genèse",,0,0,0,0,0,0,0,21
20/12/2020,"Repair Café Rhode-Saint-Genèse",,0,1,0,0,0,0,0,12
20/12/2020,"Repair café de Theux",,0,1,0,0,0,0,0,12
19/12/2020,"Repair Café Visio",,0,2,0,0,0,0,0,15
19/12/2020,"Repair Café de Modave",,0,1,0,0,0,0,0,12
